CodeTRUEL-VASSAL;name;Type
354;ABOURIOU N;Cépage
814;ADMIRABLE DE COURTILLER B;Cépage
1816;AGIORGITIKO N;Cépage
1423;AIREN;Cépage
6588;ALADIN N;Cépage
109;ALEATICO N;Cépage
1477;ALEDO B;Cépage
514;ALICANTE HENRI BOUSCHET N;Cépage
202;ALIGOTE B;Cépage
627;ALPHONSE LAVALLEE N;Cépage
167;ALTESSE B;Cépage
3033;ALVAL N;Cépage
55;ALVARINHO B;Cépage
2957;ALVINA N;Cépage
6587;AMANDIN B;Cépage
24;ARAMON BLANC B;Cépage
23;ARAMON GRIS G;Cépage
22;ARAMON N;Cépage
2889;ARANEL B;Cépage
219;ARBANE B;Cépage
2746;ARRILOBA B;Cépage
410;ARROUYA N;Cépage
406;ARRUFIAC B;Cépage
6716;ARTABAN N;Cépage
1837;ARVINE B;Cépage
1798;ASSYRTIKO B;Cépage
291;AUBIN B;Cépage
49;AUBUN N;Cépage
3776;AUTUMN ROYAL N;Cépage
279;AUXERROIS B;Cépage
5846;BACO BLANC B;Cépage
668;BARBAROUX RS;Cépage
1239;BARBERA N;Cépage
380;BAROQUE B;Cépage
3735;BEAUGARAY N;Cépage
262;BECLAN N;Cépage
352;BEQUIGNOL N;Cépage
183;BIA BLANC B;Cépage
113;BIANCU GENTILE B;Cépage
416;BLANC DAME B;Cépage
358;BOUCHALES N;Cépage
51;BOURBOULENC B;Cépage
52;BRUN ARGENTE N;Cépage
60;BRUN FOURCA N;Cépage
122;BRUSTIANU;Cépage
324;CABERNET FRANC N;Cépage
322;CABERNET-SAUVIGNON N;Cépage
3736;CABESTREL N;Cépage
1316;CALABRESE N;Cépage
2826;CALADOC N;Cépage
3672;CAMARALET BLANC;Cépage
6622;CANDIN B;Cépage
1833;CANNER SEEDLESS B;Cépage
548;CARALICANTE N;Cépage
119;CARCAJOLO BLANC B;Cépage
1531;CARCAJOLO N;Cépage
1095;CARDINAL RG;Cépage
19;CARIGNAN BLANC B;Cépage
20;CARIGNAN GRIS;Cépage
18;CARIGNAN N;Cépage
2959;CARLA N;Cépage
323;CARMENERE N;Cépage
6079;CARUBIS N;Cépage
451;CASTETS N;Cépage
2874;CENTENNIAL SEEDLESS B;Cépage
225;CESAR N;Cépage
6051;CHAMBOURCIN N;Cépage
199;CHARDONNAY B;Cépage
201;CHARDONNAY ROSE RS;Cépage
2801;CHASAN B;Cépage
585;CHASSELAS B (cuve);Cépage
585;CHASSELAS B (table);Cépage
589;CHASSELAS ROSE RS;Cépage
129;CHATUS N;Cépage
2798;CHENANSON N;Cépage
293;CHENIN B;Cépage
192;CHOUCHILLON B;Cépage
5;CINSAUT N;Cépage
26;CLAIRETTE B;Cépage
27;CLAIRETTE ROSE RS;Cépage
2802;CLARIN B;Cépage
423;CLAVERIE B;Cépage
2972;CODIVARTA B;Cépage
6886;COLIRIS N;Cépage
318;COLOMBARD B;Cépage
96;COLOMBAUD B;Cépage
327;COT N;Cépage
5716;COUDERC NOIR N;Cépage
63;COUNOISE N;Cépage
413;COURBU B;Cépage
414;COURBU NOIR N;Cépage
2924;COUSTON N;Cépage
427;CROUCHEN B;Cépage
3050;CUALTACCIU;Cépage
735;DABOUKI B;Cépage
2794;DANAM B;Cépage
2791;DANLAS B;Cépage
2955;DANUTA B;Cépage
2795;DATAL B;Cépage
634;DATTIER DE BEYROUTH B;Cépage
2827;DELHRO N;Cépage
6912;DIVICO N;Cépage
6974;DIVONA N;Cépage
1244;DOLCETTO N;Cépage
449;DURAS N;Cépage
139;DUREZA N;Cépage
159;DURIF N;Cépage
2748;EGIODOLA N;Cépage
3030;EKIGAINA N;Cépage
166;ETRAIRE DE LA DUI N;Cépage
2961;EXALTA B;Cépage
5537;FARELIA;Cépage
353;FER N;Cépage
3628;FERRADOU N;Cépage
1672;FETEASCA NEAGRA N;Cépage
143;FEUNATE N;Cépage
1260;FIANO B;Cépage
2714;FLAME SEEDLESS ROSE;Cépage
6748;FLOREAL B;Cépage
5053;FLOT ROUGE N;Cépage
2977;FOLIGNAN B;Cépage
317;FOLLE BLANCHE B;Cépage
264;FRANC NOIR DE LA HAUTE SAONE N;Cépage
100;FUELLA NERA N;Cépage
25;FURMINT BLANC B;Cépage
6533;GALIBIA B;Cépage
2966;GAMARET NOIR N;Cépage
234;GAMAY DE BOUZE N;Cépage
235;GAMAY DE CHAUDENAY N;Cépage
236;GAMAY FREAUX N;Cépage
230;GAMAY N;Cépage
3728;GAMINOT N;Cépage
2797;GANSON N;Cépage
5929;GARONNET N;Cépage
312;GENOUILLET N;Cépage
121;GENOVESE B;Cépage
258;GEWURZTRAMINER RS;Cépage
1285;GLERA;Cépage
2618;GORON DE BOVERNIER;Cépage
378;GRAISSE B;Cépage
2799;GRAMON N;Cépage
3732;GRANITA N;Cépage
110;GRASSEN N;Cépage
37;GRENACHE BLANC B;Cépage
35;GRENACHE GRIS G;Cépage
34;GRENACHE N;Cépage
1551;GRINGET B;Cépage
305;GROLLEAU GRIS G;Cépage
297;GROLLEAU N;Cépage
421;GROS MANSENG BLANC B;Cépage
625;GROS VERT B;Cépage
3052;HUMAGNE  ROUGE RG;Cépage
2978;ISA B;Cépage
926;ITALIA B;Cépage
3064;ITALIA RUBI RG;Cépage
160;JACQUERE B;Cépage
651;JAOUMET B;Cépage
154;JOUBERTIN N;Cépage
370;JURANCON NOIR N;Cépage
1610;KADARKA N;Cépage
424;LAUZET B;Cépage
446;LEN DE L'EL B;Cépage
6888;LILARO N;Cépage
2749;LILIORILA B;Cépage
28;LISTAN B;Cépage
2790;LIVAL N;Cépage
38;LLEDONER PELUT N;Cépage
46;MACABEU B;Cépage
622;MADELEINE ANGEVINE OBERLIN B;Cépage
3515;MADELEINE CELINE B;Cépage
653;MADELEINE ROYALE B;Cépage
649;MADELEINE SALOMON B;Cépage
2956;MADINA B;Cépage
420;MANSENG NOIR N;Cépage
148;MARSANNE B;Cépage
2960;MARSELAN N;Cépage
443;MAUZAC B;Cépage
444;MAUZAC ROSE RS;Cépage
1900;MAYORQUIN B;Cépage
3034;MELON ROUGE RG;Cépage
397;MESLIER SAINT FRANCOIS B;Cépage
436;MILGRANET N;Cépage
2713;MIREILLE B;Cépage
168;MOLETTE B;Cépage
98;MOLLARD N;Cépage
76;MONBADON B;Cépage
176;MONDEUSE BLANCHE B;Cépage
161;MONDEUSE N;Cépage
2800;MONERAC N;Cépage
1284;MONTEPULCIANO N;Cépage
319;MONTILS B;Cépage
190;MORNEN N;Cépage
9;MORRASTEL N;Cépage
